"","rev","oparc","pir","line","pauses","om","loop","clarc"
"crawl",3.34783646783749e-06,0.462982307888781,1.23316354400179e-07,6.4441388416272e-15,0.00293581369228554,0.0347837624328094,0.344967210645474,0.154327434187821
"reorient",0.0696473659251443,1.76134053174784e-09,0.343767805253167,0.586427744882446,0.00013396990258781,2.31089995088794e-05,5.35440506631543e-11,3.22226106875196e-09
