"","copper_beh","rev","oparc","pir","line","pauses","om","loop","clarc"
"copper_beh",0.999993168584891,5.75108217784831e-11,7.33245448318426e-19,6.5890799599257e-06,1.6938099618332e-12,0,2.42275944374568e-07,0,8.7566988429739e-28
"rev",0.00272541287085352,3.77462211875081e-09,1.81819907995196e-06,2.29314351998084e-32,2.47925579309506e-05,0,0.997247943563081,0,2.90344324805225e-08
"oparc",5.12736807368263e-17,5.72085629855074e-12,0.687814517826455,1.54317935110476e-13,3.80489327943576e-37,0,0.00417909433934795,0,0.308006387828322
"pir",0.00339644601307869,2.02261929592898e-11,9.73128917056757e-06,3.05729911605679e-32,3.59731566962718e-05,0,0.99655782157943,0,2.79413980315355e-08
"line",1.49744999262812e-09,3.02118804204114e-09,5.54565080564934e-27,1.23741824536928e-10,0.998764474772238,0,0.0012355205853825,0,4.45173099766513e-40
"pauses",5.59367169770598e-07,3.3572898583394e-15,1.07813073850525e-07,0.99999884749595,4.85055371466414e-07,0,7.36207297269769e-12,0,2.61069244414167e-10
"om",0.0953259859696953,0.145754984516178,1.94884330969994e-05,3.26261955071425e-30,1.07269382007016e-06,0,0.758898460594463,0,7.79274618920402e-09
"loop",0.983682337557393,0.00441211770866267,2.40691025043657e-29,2.76771714515369e-14,6.05184384330768e-24,0,0.011905544733917,0,8.40550427876533e-36
"clarc",3.09808159228702e-14,0.00554412858276291,8.39973655879206e-34,2.94205959712435e-10,0.993582017190034,0,0.000873853932965879,0,4.99971657907883e-48
