"","rev","oparc","pir","line","pauses","om","loop","clarc"
"rev",5.48985833215245e-07,2.50031946526325e-08,5.55499202251592e-11,0.00118881616017792,0,0.998810609272238,0,5.23006137184336e-10
"oparc",2.0861253361532e-25,4.59758220380673e-48,3.00279209592132e-15,1.99797292300419e-32,0,3.9818143158957e-09,0,0.999999996018183
"pir",5.28061364772812e-05,2.24349274206143e-14,8.32548150507587e-14,0.229201304681307,0,0.770745889182086,0,2.32190484113135e-14
"line",0.00531989639521324,1.12467476678314e-46,1.04709021691306e-11,0.994294794072581,0,0.000385309521734455,0,9.14094711264928e-59
"pauses",7.7736925960791e-15,1.1584429605649e-09,0.999999503417226,4.84907686134919e-07,0,1.05165529155881e-08,0,8.45559831208053e-14
"om",0.0631732642660244,5.14093196920334e-08,1.60397829857626e-12,3.65098442765535e-06,0,0.936823033333981,0,4.64285188968365e-12
"loop",7.86368921921432e-08,0.99312522996409,1.08091447221736e-14,4.70637961299896e-32,0,0.00687469139900709,0,2.52421741850391e-55
"clarc",6.65852419655163e-08,1.89925734932355e-39,1.74746497475783e-08,0.999785779151091,0,0.000214136789017219,0,6.19487438145847e-54
