"","rev","oparc","pir","line","pauses","om","loop","clarc"
"crawl",0.0650334966937478,6.65556992257154e-15,3.41475917185045e-08,0.407395813872742,0,0.00732718081256511,0.350248431534784,0.169995042938563
"reorient",0.0215290167189823,0.542864855413832,0.435592083688666,1.35917571775165e-05,0,4.26406557759632e-07,4.48878355682950e-11,2.59698966112157e-08
