"","rev","oparc","pir","line","pauses","om","loop","clarc"
"rev",0.897170426862253,1.13073271994448e-08,6.16544403151065e-05,0.0012737240403647,0,0.101494178646869,4.10648862090955e-09,5.96383217296256e-10
"oparc",0.00114263652363299,2.07205840408566e-44,2.13463693021929e-09,2.98983430651627e-12,0,7.98169178347247e-21,7.57425543048386e-46,0.99885736133874
"pir",0.0191515859971848,1.6551029667635e-17,1.89727653848674e-06,0.980846516436341,0,2.89935466651439e-10,7.4929031916098e-22,8.56527216247574e-20
"line",0.00939968522919974,0.990599812239956,5.02530844184943e-07,2.04789931002844e-21,0,7.01622547711786e-28,2.11855288482417e-61,1.75285123666569e-52
"pauses",0.0205427860577122,2.30084954176273e-08,0.979456115367543,9.6401474739488e-07,0,1.10875496647496e-07,2.21552364876132e-12,6.73789363490173e-10
"om",0.00506504952798096,1.2756289742016e-07,0.994917519568155,1.7303147154677e-05,0,5.27256500154274e-12,1.50034787363423e-15,1.88538440837289e-10
"loop",4.54771804833279e-11,9.33445940965965e-55,1.02870382166025e-13,3.78335269889541e-28,0,5.1431831878184e-06,0.999994856771232,1.60257719825364e-54
"clarc",0.00895873962475476,1.35298610879112e-36,5.53630074043032e-07,0.991040706740503,0,4.66860339513793e-12,8.17201616155528e-41,9.3671859147222e-48
